Nivel,Tempo,Nos
1,0.000000,5
2,0.001000,9
3,0.002000,37
4,0.007000,105
5,0.003007,44
6,0.002002,31
7,0.021008,287
8,0.058020,709
9,0.140022,1692
10,0.179512,1924
11,0.118037,1427
12,0.023002,167
13,0.052026,377
14,0.044987,329
15,0.203598,1256
16,0.120001,743
17,0.145001,921
18,0.237999,1484
19,0.082000,568
20,0.071000,417
21,0.058999,363
22,0.365001,1758
23,0.124000,837
24,0.230993,1270
25,4.803004,13829
26,2.905992,10880
27,0.735000,3163
28,0.483001,2426
29,0.321999,2144
30,0.245994,1766
31,0.631006,3698
32,0.493033,2373
33,0.027967,210
34,0.444997,2668
35,0.425994,2425
36,0.177006,923
37,0.043000,282
38,2.326005,9159
39,2.214002,7343
40,0.176994,1004
41,0.261007,1371
42,0.018012,138
43,0.161988,813
44,0.451008,2264
45,0.435999,2044
46,0.205001,1196
47,0.210998,996
48,0.116001,642
49,0.185000,1147
50,0.469997,2265
51,0.345000,1633
52,0.904992,4337
53,0.583001,2928
54,0.380999,1988
55,1.366991,5642
56,1.211996,5478
57,0.379001,1936
Tempo Total: 26.432200
